Sc_id	abspathanglesrate	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	keypressedrate	leftclicrate	length	maxdistance	maxpupilsize	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanrelpathangles	mindistance	minpupilsize	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevrelpathangles	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic	Graph_doubleclicrate	Graph_fixationrate	Graph_leftclicrate	Graph_longestfixation	Graph_numdoubleclic	Graph_numevents	Graph_numfixations	Graph_numleftclic	Graph_numrightclic	Graph_proportionnum	Graph_proportiontime	Graph_rightclicrate	Graph_timetofirstdoubleclic	Graph_timetofirstfixation	Graph_timetofirstleftclic	Graph_timetofirstrightclic	Graph_timetolastfixation	Graph_totaltimespent	Top_doubleclicrate	Top_fixationrate	Top_leftclicrate	Top_longestfixation	Top_numdoubleclic	Top_numevents	Top_numfixations	Top_numleftclic	Top_numrightclic	Top_proportionnum	Top_proportiontime	Top_rightclicrate	Top_timetofirstdoubleclic	Top_timetofirstfixation	Top_timetofirstleftclic	Top_timetofirstrightclic	Top_timetolastfixation	Top_totaltimespent	Toolbar_doubleclicrate	Toolbar_fixationrate	Toolbar_leftclicrate	Toolbar_longestfixation	Toolbar_numdoubleclic	Toolbar_numevents	Toolbar_numfixations	Toolbar_numleftclic	Toolbar_numrightclic	Toolbar_proportionnum	Toolbar_proportiontime	Toolbar_rightclicrate	Toolbar_timetofirstdoubleclic	Toolbar_timetofirstfixation	Toolbar_timetofirstleftclic	Toolbar_timetofirstrightclic	Toolbar_timetolastfixation	Toolbar_totaltimespent	Bottom_doubleclicrate	Bottom_fixationrate	Bottom_leftclicrate	Bottom_longestfixation	Bottom_numdoubleclic	Bottom_numevents	Bottom_numfixations	Bottom_numleftclic	Bottom_numrightclic	Bottom_proportionnum	Bottom_proportiontime	Bottom_rightclicrate	Bottom_timetofirstdoubleclic	Bottom_timetofirstfixation	Bottom_timetofirstleftclic	Bottom_timetofirstrightclic	Bottom_timetolastfixation	Bottom_totaltimespent
P61	0.00422561048582	0.000169267559502	607.6455	-0.804589	0.628367110024	0.00273113825021	0.0	0.000357068063474	1618739	704.7263	0.545498	1.6015360553	563.054466521	341.003619091	238.155548423	-0.814214685693	1.69819610668	398.0482	-2.660031	274	852	4421	0	578	0	150	0.00432642985925	0.0	601.2301	-0.0293025	0.984108897326	41.0280892409	281.166715951	199.834231267	0.495642284053	1.60436759777	6840.1604922	1507577	1017162.34731	7003.36074394	15337	-1	13461	-1	0.0	0.00288180149017	3.70658889419e-06	6596	0	5	3679	5	0	0.832164668627	0.788658332196	0.0	5884	50	4008	-1	48550	1276632	0	0.00274526251573	0	1815	0	0	72	0	0	0.0162859081656	0.0162021178213	0	-1	2948	-1	-1	47518	26227	0.0	0.00267180587797	6.17764815699e-07	1166	0	1	61	1	0	0.0137977833069	0.0141041885072	0.0	33755	28131	23042	-1	28814	22831	0	0.00483425414365	0	333	0	0	7	0	0	0.00158335218276	0.000894523453132	0	-1	27631	-1	-1	27631	1448
problem2	0.00422521778402	0.000160635494744	607.6455	-0.804589	0.616221539532	0.00274980330788	0.0	0.000371361627635	1157901	683.58085	-0.2176795	1.59777397039	550.542988801	338.311243719	233.025322288	-1.11826980959	1.70319852254	416.6522	-2.660031	186	616	3184	0	430	0	122	0.00432749436551	0.0	580.5906	-1.139539	0.949111732667	39.4630032878	280.393085327	199.315459404	0.132903840001	1.61365746613	4892.38389733	1077183	713523.536846	5010.81005332	-1	-1	497421	-1	0.0	0.00290536056959	5.18179015304e-06	6596	0	5	2754	5	0	0.864949748744	0.818639071907	0.0	-1	100	-1	-1	9460	947903	0	0.00235925805402	0	1815	0	0	29	0	0	0.00910804020101	0.0106157607602	0	-1	4380	-1	-1	4380	12292	0.0	0.00331331538621	8.63631692174e-07	666	0	1	32	1	0	0.0100502512563	0.00834095488302	0.0	-1	0	-1	-1	0	9658	0	0.00514579759863	0	333	0	0	3	0	0	0.000942211055276	0.000503497276537	0	-1	0	-1	-1	0	583
problem1	0.00422659718788	0.000190956474943	580.5022	-0.133299	0.658884055716	0.00268424044892	0.0	0.000321154071496	460838	704.7263	0.545498	1.61106418103	593.609684258	347.93371059	251.148726607	-0.0716588722823	1.68574508512	398.0482	-1.504643	88	236	1237	0	148	0	28	0.00432375518212	0.0	601.2301	-0.0293025	1.06798160819	25.9820691021	283.144365736	200.638478798	0.159049606286	1.58161655488	1947.77659487	430394	303638.810468	1992.55069062	15337	-1	13461	-1	0	0.00281386795811	0	3181	0	0	925	0	0	0.747776879547	0.713328761951	0	5884	50	4008	-1	48550	328729	0	0.00308575529243	0	899	0	0	43	0	0	0.034761519806	0.0302383917993	0	-1	2948	-1	-1	47518	13935	0	0.00220147270933	0	1166	0	0	29	0	0	0.0234438156831	0.0285848823231	0	33755	28131	23042	-1	28814	13173	0	0.00462427745665	0	316	0	0	4	0	0	0.00323362974939	0.0018770153503	0	-1	27631	-1	-1	27631	865
